Publication_code,Author,Year,Title,Comparison_identifier,Animal,Strain,Sex,Comorbidity,Comorbidity_induction,Age_weeks_min,Age_weeks_mean,Age_weeks_max,Weight_g_min,Weight_g_mean,Weight_g_max,N_control_groups,N_animals_control,N_treatment_groups,N_animals_treatment,Surgery_primary_anaesthetic,Surgery_secondary_anaesthetic,Surgery_tertiary_anaesthetic,Induction_primary_anaesthetic,Induction_secondary_anaesthetic,Induction_tertiary_anaesthetic,ET_administration_route,ET_brain_depth,MCA_occluded,Conscious,Induction_time_hrs,ET_dose,ET_dose_units,ET_volume_uL,ET_dose_pmol,ET_administration_mins,ET_administration_sites,Primary_analgesic,Secondary_analgesic,Antibiotic,Treatment,Treatment_class,Treatment_initial_hour,Treatment_time_class,Infarct_measure_hrs,Infarct_measurement,Histology_stain,Reported_p_value,Infarct_mean_control,Infarct_error_control,Infarct_mean_treatment,Infarct_error_treatment,Infarct_units,Infarct_error_units,Infarct_percent_control,Infarct_percent_treatment,Infarct_SD_control,Infarct_SD_control_percent,Infarct_SD_treatment
Bennion_2015,"Bennion, D. M.",2015,Activation of the Neuroprotective Angiotensin-Converting Enzyme 2 in Rat Ischemic Stroke,a,Rat,Sprague-Dawley,Male,None,NA,NA,9,NA,275,287.5,300,1,20,4,11,Isoflurane,NA,NA,None,NA,NA,Needle,Cortical,Yes,Conscious,120,80,umol/L,3,240,3,1,Buprenorphine,NA,NR,Diminazene (DIZE),Not yet classified,0,During stroke,72,TTC (ex vivo),NA,<0.05,40.87,3.06,27.98,4.26,Indirect rLV % hemisphere,SEM,20.435,13.99,13.68473602,6.842368011,19.05129917
Bogaert_2001,"Bogaert, L.",2001,"The effects of LY393613, nimodipine and verapamil, in focal cerebral ischaemia",a,Rat,Wistar,Male,None,NA,NR,NR,NR,250,265,280,1,7,6,3,Ketamine,Diazepam,NA,None,NA,NA,Guide cannula,Subcortical,Yes,Conscious,24,120,pmol,6,120,6,1,Lidocaine,Ketoprofen,NR,LY 393613,Not yet classified,0.5,After stroke,24,Other histology (ex vivo),Cresyl violet,NS,65,6,56,3,mm3,SEM,3.297818366,2.841197362,15.87450787,0.805403748,7.937253933
Bogaert_2001,"Bogaert, L.",2001,"The effects of LY393613, nimodipine and verapamil, in focal cerebral ischaemia",b,Rat,Wistar,Male,None,NA,NR,NR,NR,250,265,280,1,7,6,3,Ketamine,Diazepam,NA,None,NA,NA,Guide cannula,Subcortical,Yes,Conscious,24,120,pmol,6,120,6,1,Lidocaine,Ketoprofen,NR,Nimodipine,Not yet classified,0.5,After stroke,24,Other histology (ex vivo),Cresyl violet,NS,65,6,72.8,4.54,mm3,SEM,3.297818366,3.69355657,15.87450787,0.805403748,12.01171095
Bogaert_2001,"Bogaert, L.",2001,"The effects of LY393613, nimodipine and verapamil, in focal cerebral ischaemia",c,Rat,Wistar,Male,None,NA,NR,NR,NR,250,265,280,1,7,6,3,Ketamine,Diazepam,NA,None,NA,NA,Guide cannula,Subcortical,Yes,Conscious,24,120,pmol,6,120,6,1,Lidocaine,Ketoprofen,NR,Verapamil,Not yet classified,0.5,After stroke,24,Other histology (ex vivo),Cresyl violet,NS,65,6,69.41,4.24,mm3,SEM,3.297818366,3.521562659,15.87450787,0.805403748,11.21798556
Bond_1999,"Bond, A.",1999,"LY379268, a potent and selective Group II metabotropic glutamate receptor agonist, is neuroprotective in gerbil global, but not focal, cerebral ischaemia",a,Rat,Sprague-Dawley,Male,None,NA,NR,NR,NR,280,300,320,1,11,1,11,Halothane,NA,NA,Halothane,NA,NA,NR,Cortical,Yes,Unconscious,0,200,pmol,3,200,NR,1,NR,NA,NR,LY 379268,Not yet classified,0,During stroke,72,Other histology (ex vivo),Cresyl violet,NS,116.64,16.48,102.08,12.8,mm3,SEM,5.917808219,5.179096905,54.65797655,2.773108906,42.45279732
Callaway_2004,"Callaway, J. K.",2004,Sodium channel blocking activity of AM-36 and sipatrigine (BW619C89): in vitro and in vivo evidence,a,Rat,Long Evans,Male,None,NA,NR,NR,NR,300,325,350,1,8,2,8,Sodium Pentobarbital,NA,NA,None,NA,NA,Guide cannula,Cortical,Yes,Conscious,72,120,pmol,6,120,6,1,NR,NA,NR,Sipatrigine,Not yet classified,0.5,After stroke,72,Other histology (ex vivo),Callaway 2000 no stain method,<0.01,180.09,54.56727957,44.4,29.66223188,mm3,SD,9.136986301,2.252663623,54.56727957,2.768507335,29.66223188
Callaway_2004,"Callaway, J. K.",2004,Sodium channel blocking activity of AM-36 and sipatrigine (BW619C89): in vitro and in vivo evidence,b,Rat,Long Evans,Male,None,NA,NR,NR,NR,300,325,350,1,8,2,8,Sodium Pentobarbital,NA,NA,None,NA,NA,Guide cannula,Cortical,Yes,Conscious,72,120,pmol,6,120,6,1,NR,NA,NR,AM-36,Not yet classified,0.5,After stroke,72,Other histology (ex vivo),Callaway 2000 no stain method,<0.01,180.09,54.56727957,64.28,37.61077505,mm3,SD,9.136986301,3.261288686,54.56727957,2.768507335,37.61077505
Callaway_1999,"Callaway, J. K.",1999,"Delayed treatment with AM-36, a novel neuroprotective agent, reduces neuronal damage after endothelin-1-induced middle cerebral artery occlusion in conscious rats",a,Rat,Wistar,Male,None,NA,NR,NR,NR,280,300,320,3,4,3,4,Sodium Pentobarbital,Methohexital,NA,None,NA,NA,Guide cannula,Cortical,Yes,Conscious,72,120,pmol,6,120,6,1,NR,NA,NR,AM-36,Not yet classified,2,After stroke,72,Other histology (ex vivo),Callaway 2000 no stain method,<0.05,140.9,97.64117984,29.6,28.31960452,mm3,SD,7.148655505,1.501775748,97.64117984,4.953890403,28.31960452
Callaway_2003,"Callaway, J. K.",2003,"AM-36, a novel neuroprotective agent, profoundly reduces reactive oxygen species formation and dopamine release in the striatum of conscious rats after endothelin-1-induced middle cerebral artery occlusion",a,Rat,Long Evans,Male,None,NA,NR,NR,NR,280,300,320,1,7,1,7,Sodium Pentobarbital,NA,NA,None,NA,NA,Guide cannula,Cortical,Yes,Conscious,72,120,pmol,6,120,6,1,NR,NA,NR,AM-36,Not yet classified,0.5,After stroke,72,Other histology (ex vivo),Callaway 2000 no stain method,<0.01,142.49,53.28299447,34.14,25.21471792,mm3,SD,7.229325216,1.732115677,53.28299447,2.703348274,25.21471792
Ceulemans_2011_a,"Ceulemans, A. G.",2011,Serial semiquantitative imaging of brain damage using micro-SPECT and micro-CT after endothelin-1-induced transient focal cerebral ischemia in rats,a,Rat,Wistar,Male,None,NA,NR,NR,NR,270,285,300,1,10,1,8,Ketamine,Diazepam,NA,Sevoflurane,NA,NA,Guide cannula,Cortical,Yes,Unconscious,72,500,pmol,6,500,6,1,Ketoprofen,NA,NR,Hypothermia,Not yet classified,0.33,After stroke,24,Other histology (ex vivo),Nissl,<0.0001,26.32,4.55,13.06,3.28,mm3,SD,1.33536276,0.662607813,4.55,0.230847286,3.28
Ceulemans_2011_b,"Ceulemans, A. G.",2011,"Mild hypothermia causes differential, time-dependent changes in cytokine expression and gliosis following endothelin-1-induced transient focal cerebral ischemia",a,Rat,Wistar,Male,None,NA,NR,NR,NR,270,285,300,1,5,1,7,Ketamine,Diazepam,NA,Sevoflurane,NA,NA,Guide cannula,Cortical,Yes,Unconscious,24,500,pmol,6,500,6,1,Ketoprofen,NA,NR,Hypothermia,Not yet classified,0.33,After stroke,72,Other histology (ex vivo),Nissl,<0.05,54.3,1.1,25.44,2.16,mm3,SEM,2.754946728,1.290715373,2.459674775,0.124793241,4.829906831
Choi_2018,"Choi, S. H.",2018,Neuroprotective Effects of MAGL (Monoacylglycerol Lipase) Inhibitors in Experimental Ischemic Stroke,a,Rat,Spontaneously Hypertensive Rat (SHR),Male,Hypertension,Genetic,NR,NR,NR,270,285,300,1,15,1,15,Ketamine,Xylazine,NA,Ketamine,Xylazine,NA,Needle,Cortical,No,Unconscious,0,1,mg/ml,2,802.5682183,10,1,NR,NA,NR,JZL184,Not yet classified,1,After stroke,168,Other histology (ex vivo),Cresyl violet,<0.01,99.47,10.35,23.44,5.7,mm3,SEM,5.046676814,1.189244039,40.08537763,2.033758378,22.07600507
Choi_2018,"Choi, S. H.",2018,Neuroprotective Effects of MAGL (Monoacylglycerol Lipase) Inhibitors in Experimental Ischemic Stroke,b,Rat,Wistar-Kyoto,Male,None,NA,NR,NR,NR,270,285,300,1,7,1,7,Ketamine,Xylazine,NA,Ketamine,Xylazine,NA,Needle,Cortical,No,Unconscious,0,1,mg/ml,2,802.5682183,10,1,NR,NA,NR,JZL184,Not yet classified,1,After stroke,168,Other histology (ex vivo),Cresyl violet,<0.01,45.62,4.86,8.24,2.53,mm3,SEM,2.314561136,0.418061898,12.85835137,0.652377036,6.693750817
Clarke_2014,"Clarke, J.",2014,Early poststroke experience differentially alters periinfarct layer II and III cortex,a,Rat,Sprague-Dawley,Male,None,NA,NA,13,NA,325,350,375,1,6,3,6,Isoflurane,Nitrous oxide,NA,Isoflurane,Nitrous oxide,NA,Needle,Both cortical and subcortical,No,Unconscious,0,400,pmol/uL,5,2000,NR,3,NR,NA,NR,Enriched cage environment,Not yet classified,168,After stroke,408,Other histology (ex vivo),Cresyl violet,NS,10.71,1.59,20.34,3.01,mm3,SEM,0.543378995,1.03196347,3.894688691,0.197599629,7.372964126
Clarke_2014,"Clarke, J.",2014,Early poststroke experience differentially alters periinfarct layer II and III cortex,b,Rat,Sprague-Dawley,Male,None,NA,NA,13,NA,325,350,375,1,6,3,6,Isoflurane,Nitrous oxide,NA,Isoflurane,Nitrous oxide,NA,Needle,Both cortical and subcortical,No,Unconscious,0,400,pmol/uL,5,2000,NR,3,NR,NA,NR,Motor training,Not yet classified,168,After stroke,408,Other histology (ex vivo),Cresyl violet,NS,10.71,1.59,16.73,3.75,mm3,SEM,0.543378995,0.848807712,3.894688691,0.197599629,9.185586535
Dawson_1994,"Dawson, D. A.",1994,Anti-ischaemic efficacy of a nitric oxide synthase inhibitor and a N-methyl-D-aspartate receptor antagonist in models of transient and permanent focal cerebral ischaemia,a,Rat,Sprague-Dawley,Male,None,NA,NR,NR,NR,NR,NR,NR,1,10,2,9,Halothane,Nitrous oxide,NA,Halothane,Nitrous oxide,NA,Dropper,Cortical,Yes,Unconscious,0,2.5,nmol,25,2500,NR,1,NR,NA,NR,MK-801 (dizocilpine maleate),Not yet classified,-2.5,Before stroke,4,Other histology (ex vivo),H&E,<0.05,59,38,17,28,mm3,SEM,2.993404363,0.862506342,120.1665511,6.096730141,88.54377448
Dawson_1994,"Dawson, D. A.",1994,Anti-ischaemic efficacy of a nitric oxide synthase inhibitor and a N-methyl-D-aspartate receptor antagonist in models of transient and permanent focal cerebral ischaemia,b,Rat,Sprague-Dawley,Male,None,NA,NR,NR,NR,NR,NR,NR,1,14,2,14,Halothane,Nitrous oxide,NA,Halothane,Nitrous oxide,NA,Dropper,Cortical,Yes,Unconscious,0,2.5,nmol,25,2500,NR,1,NR,NA,NR,L-NAME,Not yet classified,-0.5,Before stroke,4,Other histology (ex vivo),H&E,NS,54.25,10.54,38.54,7.27,mm3,SEM,2.752409944,1.955352613,39.43706886,2.000866,27.2018492
Dawson_1995,"Dawson, D. A.",1995,The neuroprotective efficacy of ebselen (a glutathione peroxidase mimic) on brain damage induced by transient focal cerebral ischaemia in the rat,a,Rat,Sprague-Dawley,Male,None,NA,NR,NR,NR,340,343,346,1,15,2,15,Halothane,Nitrous oxide,NA,Halothane,Nitrous oxide,NA,Dropper,Cortical,Yes,Unconscious,0,2.5,nmol,25,2500,NR,1,NR,NA,NR,Ebselen,Not yet classified,-0.66,Before stroke,4,Other histology (ex vivo),H&E,<0.05,56.01,7.74,29.36,5.11,mm3,SEM,2.841704718,1.489599188,29.9768911,1.52089757,19.7909449
De_Geyter_2013,"De Geyter, D.",2013,Neuroprotective efficacy of subcutaneous insulin-like growth factor-I administration in normotensive and hypertensive rats with an ischemic stroke,a,Rat,Wistar-Kyoto,Male,None,NA,12,14,16,275,287.5,300,3,6,3,4,Ketamine,Diazepam,NA,None,NA,NA,Guide cannula,Cortical,Yes,Conscious,24,200,pg,6,0.080256822,6,1,Ketoprofen,NA,NR,IGF-1 (insulin-like growth factor 1),Not yet classified,0.5,After stroke,24,Other histology (ex vivo),Cresyl violet,<0.05,55.16,3.15,40.66,1.73,mm3,SEM,2.798579401,2.062912227,7.71589269,0.391470963,4.237617255
De_Geyter_2013,"De Geyter, D.",2013,Neuroprotective efficacy of subcutaneous insulin-like growth factor-I administration in normotensive and hypertensive rats with an ischemic stroke,b,Rat,Spontaneously Hypertensive Rat (SHR),Male,Hypertension,Genetic,12,14,16,275,287.5,300,2,6,2,7,Ketamine,Diazepam,NA,None,NA,NA,Guide cannula,Cortical,Yes,Conscious,24,200,pg,6,0.080256822,6,1,Ketoprofen,NA,NR,IGF-1 (insulin-like growth factor 1),Not yet classified,0.5,After stroke,24,Other histology (ex vivo),Cresyl violet,NS,51.91,5.6,42.76,3.41,mm3,SEM,2.633688483,2.169457128,13.71714256,0.695948379,8.352760023
De_Geyter_2012,"De Geyter, D.",2012,Spontaneously hypertensive rats display reduced microglial activation in response to ischemic stroke and lipopolysaccharide,a,Rat,Wistar-Kyoto,Male,None,NA,NR,NR,NR,275,287.5,300,3,12,NA,NA,Ketamine,Diazepam,NA,None,NA,NA,Guide cannula,Cortical,Yes,Conscious,24,200,pmol,6,200,6,1,Ketoprofen,NA,NR,None,NA,NA,NA,24,Other histology (ex vivo),Cresyl violet,NS,41.8,3.3,NA,NA,mm3,SEM,2.120750888,NA,11.43153533,0.579986572,NA
De_Geyter_2012,"De Geyter, D.",2012,Spontaneously hypertensive rats display reduced microglial activation in response to ischemic stroke and lipopolysaccharide,b,Rat,Spontaneously Hypertensive Rat (SHR),Male,Hypertension,Genetic,NR,NR,NR,275,287.5,300,3,10,NA,NA,Ketamine,Diazepam,NA,None,NA,NA,Guide cannula,Cortical,Yes,Conscious,24,200,pmol,6,200,6,1,Ketoprofen,NA,NR,None,NA,NA,NA,24,Other histology (ex vivo),Cresyl violet,<0.05,55.5,3.12,NA,NA,mm3,SEM,2.815829528,NA,9.8663063,0.500573633,NA
De_Geyter_2012,"De Geyter, D.",2012,Spontaneously hypertensive rats display reduced microglial activation in response to ischemic stroke and lipopolysaccharide,c,Rat,Wistar-Kyoto,Male,None,NA,NR,NR,NR,275,287.5,300,3,4,NA,NA,Ketamine,Diazepam,NA,None,NA,NA,Guide cannula,Cortical,Yes,Conscious,24,180,pmol,6,180,6,1,Ketoprofen,NA,NR,None,NA,NA,NA,24,Other histology (ex vivo),Cresyl violet,NS,31.83,2.3,NA,NA,mm3,SEM,1.614916286,NA,4.6,0.233384069,NA
De_Geyter_2012,"De Geyter, D.",2012,Spontaneously hypertensive rats display reduced microglial activation in response to ischemic stroke and lipopolysaccharide,d,Rat,Spontaneously Hypertensive Rat (SHR),Male,Hypertension,Genetic,NR,NR,NR,275,287.5,300,3,3,NA,NA,Ketamine,Diazepam,NA,None,NA,NA,Guide cannula,Cortical,Yes,Conscious,24,180,pmol,6,180,6,1,Ketoprofen,NA,NR,None,NA,NA,NA,24,Other histology (ex vivo),Cresyl violet,<0.05,43.39,0.73,NA,NA,mm3,SEM,2.201420599,NA,1.26439709,0.06415003,NA
Dojo_Soeandy_2019,"Dojo Soeandy, C.",2019,Endothelin-1-mediated cerebral ischemia in mice: early cellular events and the role of caspase-3,a,Mouse,C57BL/6,NR,None,NA,9,13,17,21,24.5,28,2,7,NA,NA,Tribromoethanol,NA,NA,Tribromoethanol,NA,NA,Needle,Cortical,No,Unconscious,0,480,pmol,1.2,480,NR,3,Ketoprofen,NA,NR,None,NA,NA,NA,24,TTC (ex vivo),NA,<0.01,5.03,0.43,NA,NA,mm3,SEM,0.988386945,NA,1.137673064,0.223550935,NA
Dojo_Soeandy_2019,"Dojo Soeandy, C.",2019,Endothelin-1-mediated cerebral ischemia in mice: early cellular events and the role of caspase-3,b,Mouse,Caspase3 KO,NR,None,NA,9,13,17,21,24.5,28,2,6,NA,NA,Tribromoethanol,NA,NA,Tribromoethanol,NA,NA,Needle,Cortical,No,Unconscious,0,480,pmol,1.2,480,NR,3,Ketoprofen,NA,NR,None,NA,NA,NA,24,TTC (ex vivo),NA,<0.01,2.05,0.22,NA,NA,mm3,SEM,0.402821717,NA,0.538887743,0.105890579,NA
Dong_2020,"Dong, B. C.",2020,Effects of CXCR7-neutralizing antibody on neurogenesis in the hippocampal dentate gyrus and cognitive function in the chronic phase of cerebral ischemia,a,Rat,Wistar,Male,None,NA,NA,8,NA,200,225,250,1,12,1,12,Isoflurane,NA,NA,Isoflurane,NA,NA,Needle,Both cortical and subcortical,No,Unconscious,0,0.5,ug/uL,6,1203.852327,NR,3,NR,NA,NR,Anti-CXCR7,Not yet classified,168,After stroke,792,Other histology (ex vivo),Nissl,NS,127.9,12.86,108.7,15.55,mm3,SEM,6.489091832,5.514967022,44.54834677,2.260190095,53.86678012
Fang_2010,"Fang, P. C.",2010,Combination of NEP 1-40 treatment and motor training enhances behavioral recovery after a focal cortical infarct in rats,a,Rat,Long Evans,Male,None,NA,21,23.5,26,NR,NR,NR,1,7,3,8,Ketamine,Xylazine,NA,Ketamine,Xylazine,NA,Needle,Cortical,No,Unconscious,0,0.3,ug,0.33,120.3852327,NR,1,Buprenorphine,Paracetamol/Acetaminophen,NR,NEP 1-40,Not yet classified,168,After stroke,1128,Other histology (ex vivo),Nissl,0.79,11.89,1.25,12.39,1.23,mm3,SEM,0.603247083,0.628614916,3.307189139,0.167792447,3.254274113
Fang_2010,"Fang, P. C.",2010,Combination of NEP 1-40 treatment and motor training enhances behavioral recovery after a focal cortical infarct in rats,b,Rat,Long Evans,Male,None,NA,21,23.5,26,NR,NR,NR,1,7,3,8,Ketamine,Xylazine,NA,Ketamine,Xylazine,NA,Needle,Cortical,No,Unconscious,0,0.3,ug,0.33,120.3852327,NR,1,Buprenorphine,Paracetamol/Acetaminophen,NR,Motor training,Not yet classified,168,After stroke,1128,Other histology (ex vivo),Nissl,0.79,11.89,1.25,13.46,1.69,mm3,SEM,0.603247083,0.68290208,3.307189139,0.167792447,4.471319716
Forsse_2019,"Forsse, A.",2019,Cyclosporin A ameliorates cerebral oxidative metabolism and infarct size in the endothelin-1 rat model of transient cerebral ischaemia,a,Rat,Sprague-Dawley,Male,None,NA,6,7.5,9,198,262,344,1,14,1,17,Fentanyl/fluanisone,Midazolam,NA,None,NA,NA,Guide cannula,Cortical,Yes,Conscious,48,10,pmol/uL,15,150,30,1,Lidocaine,Buprenorphine,NR,Cyclosporin A,Not yet classified,0,During stroke,24,Other histology (ex vivo),Toluidine blue,0.047,80.6,6.7,61.8,6,mm3,SEM,4.089294774,3.135464231,25.06910449,1.271897742,22.44994432
Fuxe_1992,"Fuxe, K.",1992,Involvement of local ischemia in endothelin-1 induced lesions of the neostriatum of the anaesthetized rat,a,Rat,Sprague-Dawley,Male,None,NA,NR,NR,NR,NR,NR,NR,3,3.5,NA,NA,Halothane,NA,NA,Halothane,NA,NA,Needle,Subcortical,No,Unconscious,0,0.043,nmol,0.5,43,20,1,NR,NA,NR,None,NA,NA,NA,168,Other histology (ex vivo),Cresyl violet,NR,3.82,1.2,NA,NA,mm3,SEM,0.193810249,NA,2.244994432,0.11390129,NA
Fuxe_1992,"Fuxe, K.",1992,Involvement of local ischemia in endothelin-1 induced lesions of the neostriatum of the anaesthetized rat,b,Rat,Sprague-Dawley,Male,None,NA,NR,NR,NR,NR,NR,NR,3,3.5,NA,NA,Halothane,NA,NA,Halothane,NA,NA,Needle,Subcortical,No,Unconscious,0,0.129,nmol,0.5,129,20,1,NR,NA,NR,None,NA,NA,NA,168,Other histology (ex vivo),Cresyl violet,<0.05,5.35,1.19,NA,NA,mm3,SEM,0.271435819,NA,2.226286145,0.112952113,NA
Fuxe_1992,"Fuxe, K.",1992,Involvement of local ischemia in endothelin-1 induced lesions of the neostriatum of the anaesthetized rat,c,Rat,Sprague-Dawley,Male,None,NA,NR,NR,NR,NR,NR,NR,3,3.5,NA,NA,Halothane,NA,NA,Halothane,NA,NA,Needle,Subcortical,No,Unconscious,0,0.43,nmol,0.5,430,20,1,NR,NA,NR,None,NA,NA,NA,168,Other histology (ex vivo),Cresyl violet,<0.01,4.49,1.38,NA,NA,mm3,SEM,0.227803146,NA,2.581743597,0.130986484,NA
Gelb_2002,"Gelb, A. W.",2002,Propofol anesthesia compared to awake reduces infarct size in rats,a,Rat,Wistar,Male,None,NA,NR,NR,NR,250,300,350,1,21,3,7,Sodium Pentobarbital,NA,NA,None,NA,NA,Guide cannula,Subcortical,No,Conscious,96,6,pmol,3,6,2,1,NR,NA,NR,None,NA,NA,NA,72,Other histology (ex vivo),H&E,NA,3.39,0.53,NA,NA,mm3,SEM,0.171993912,NA,2.428765118,0.123225019,NA
